YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_DEP_REG_1,FLT_DEP_OUT_EARLY_1,FLT_DEP_IN_1,FLT_DEP_OUT_LATE_1
2025,1,JAN,2025-01-01,EBAW,Antwerp,Belgium,4,1,0,1,0
2025,1,JAN,2025-01-01,EBBR,Brussels,Belgium,216,35,1,34,0
2025,1,JAN,2025-01-01,EBCI,Charleroi,Belgium,94,17,0,16,1
2025,1,JAN,2025-01-01,EBLG,Liège,Belgium,17,3,0,3,0
2025,1,JAN,2025-01-01,EBOS,Ostend-Bruges,Belgium,4,0,0,0,0
2025,1,JAN,2025-01-01,EDDB,Berlin/ Schoenefeld,Germany,211,24,0,24,0
2025,1,JAN,2025-01-01,EDDC,Dresden,Germany,6,1,0,1,0
2025,1,JAN,2025-01-01,EDDE,Erfurt,Germany,1,0,0,0,0
2025,1,JAN,2025-01-01,EDDF,Frankfurt,Germany,434,43,2,41,0
2025,1,JAN,2025-01-01,EDDG,Muenster-Osnabrueck,Germany,7,0,0,0,0
2025,1,JAN,2025-01-01,EDDH,Hamburg,Germany,106,20,0,20,0
2025,1,JAN,2025-01-01,EDDK,Cologne-Bonn,Germany,73,14,0,14,0
2025,1,JAN,2025-01-01,EDDL,Dusseldorf,Germany,124,26,1,25,0
2025,1,JAN,2025-01-01,EDDM,Munich,Germany,312,33,1,32,0
2025,1,JAN,2025-01-01,EDDN,Nuremberg,Germany,30,6,0,6,0
2025,1,JAN,2025-01-01,EDDP,Leipzig-Halle,Germany,40,3,0,3,0
2025,1,JAN,2025-01-01,EDDR,Saarbruecken,Germany,3,0,0,0,0
2025,1,JAN,2025-01-01,EDDS,Stuttgart,Germany,66,10,3,7,0
2025,1,JAN,2025-01-01,EDDV,Hanover,Germany,37,13,1,12,0
2025,1,JAN,2025-01-01,EDDW,Bremen,Germany,18,3,0,3,0
2025,1,JAN,2025-01-01,EETN,Tallinn,Estonia,32,1,0,1,0
2025,1,JAN,2025-01-01,EETU,Tartu,Estonia,1,0,0,0,0
2025,1,JAN,2025-01-01,EFHK,Helsinki/ Vantaa,Finland,161,9,0,8,1
2025,1,JAN,2025-01-01,EGAA,Belfast/Aldergrove,United Kingdom,63,6,0,6,0
2025,1,JAN,2025-01-01,EGAC,Belfast/City Airport,United Kingdom,35,8,0,8,0
2025,1,JAN,2025-01-01,EGAE,Londonderry/Eglinton,United Kingdom,1,0,0,0,0
2025,1,JAN,2025-01-01,EGBB,Birmingham,United Kingdom,84,9,0,9,0
2025,1,JAN,2025-01-01,EGCC,Manchester,United Kingdom,205,33,0,33,0
2025,1,JAN,2025-01-01,EGGD,Bristol,United Kingdom,73,16,0,16,0
2025,1,JAN,2025-01-01,EGGW,London/ Luton,United Kingdom,135,8,0,8,0
2025,1,JAN,2025-01-01,EGHI,Southampton,United Kingdom,10,1,0,1,0
2025,1,JAN,2025-01-01,EGKB,Biggin Hill,United Kingdom,19,4,0,4,0
2025,1,JAN,2025-01-01,EGKK,London/ Gatwick,United Kingdom,315,39,1,38,0
2025,1,JAN,2025-01-01,EGLC,London/ City,United Kingdom,49,8,1,7,0
2025,1,JAN,2025-01-01,EGLF,Farnborough,United Kingdom,10,0,0,0,0
2025,1,JAN,2025-01-01,EGLL,London/ Heathrow,United Kingdom,604,41,0,41,0
2025,1,JAN,2025-01-01,EGNT,Newcastle,United Kingdom,36,15,1,14,0
2025,1,JAN,2025-01-01,EGNX,East Midlands,United Kingdom,21,2,1,1,0
2025,1,JAN,2025-01-01,EGPD,Aberdeen,United Kingdom,21,11,1,10,0
2025,1,JAN,2025-01-01,EGPF,Glasgow,United Kingdom,53,17,1,16,0
2025,1,JAN,2025-01-01,EGPH,Edinburgh,United Kingdom,117,25,0,25,0
2025,1,JAN,2025-01-01,EGSS,London/ Stansted,United Kingdom,242,19,0,19,0
2025,1,JAN,2025-01-01,EHAM,Amsterdam/ Schiphol,Netherlands,593,52,0,52,0
2025,1,JAN,2025-01-01,EHBK,Maastricht-Aachen,Netherlands,4,0,0,0,0
2025,1,JAN,2025-01-01,EHRD,Rotterdam,Netherlands,22,8,0,8,0
2025,1,JAN,2025-01-01,EICK,Cork,Ireland,29,8,0,8,0
2025,1,JAN,2025-01-01,EIDL,Donegal,Ireland,1,0,0,0,0
2025,1,JAN,2025-01-01,EIDW,Dublin,Ireland,210,40,0,40,0
2025,1,JAN,2025-01-01,EIKN,Connaught,Ireland,8,1,0,1,0
2025,1,JAN,2025-01-01,EIKY,Kerry/Farranfore,Ireland,3,0,0,0,0
2025,1,JAN,2025-01-01,EINN,Shannon,Ireland,19,2,0,2,0
2025,1,JAN,2025-01-01,EKCH,Copenhagen/ Kastrup,Denmark,217,21,1,20,0
2025,1,JAN,2025-01-01,ELLX,Luxembourg,Luxembourg,72,26,0,26,0
2025,1,JAN,2025-01-01,ENBR,Bergen,Norway,82,7,0,7,0
2025,1,JAN,2025-01-01,ENGM,Oslo/ Gardermoen,Norway,211,13,0,13,0
2025,1,JAN,2025-01-01,ENHD,Haugesund,Norway,4,0,0,0,0
2025,1,JAN,2025-01-01,ENVA,Trondheim,Norway,48,2,0,2,0
2025,1,JAN,2025-01-01,ENZV,Stavanger,Norway,45,5,0,5,0
2025,1,JAN,2025-01-01,EPBY,Bydgoszcz,Poland,3,0,0,0,0
2025,1,JAN,2025-01-01,EPGD,Gdansk,Poland,48,5,0,5,0
2025,1,JAN,2025-01-01,EPKK,Krakow - Balice,Poland,97,17,0,17,0
