YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2022,01,JAN,LOWW,Vienna,Austria,5461,4623,0,4623,51457.7591666667,12710.940833333301,
2022,01,JAN,EBBR,Brussels,Belgium,5297,4116,75,4041,44966.550833333305,9424.849166666667,
2022,01,JAN,EBCI,Charleroi,Belgium,1853,1189,30,1159,12624.8941666667,2424.522499999999,
2022,01,JAN,LBSF,Sofia,Bulgaria,1748,1329,41,1288,13723.27,3778.129999999999,
2022,01,JAN,LDZA,Zagreb,Croatia,1384,1152,31,1121,12347.220833333302,3112.729166666666,
2022,01,JAN,LKPR,Prague,Czech Republic,2618,2110,47,2063,22615.7708333333,5437.495833333333,
2022,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,5796,4636,147,4489,51450.18,11141.5033333333,
2022,01,JAN,EETN,Tallinn,Estonia,1290,714,46,668,7045.743333333333,2271.339999999999,
2022,01,JAN,EFHK,Helsinki - Vantaa,Finland,4834,3324,446,2878,30787.5208333333,9036.979166666666,
2022,01,JAN,LFBO,Toulouse-Blagnac,France,1893,1587,54,1533,17868.2441666667,2923.1391666666664,
2022,01,JAN,LFLL,Lyon-Saint-Exupéry,France,2225,1788,14,1774,19871.8483333333,4105.835,
2022,01,JAN,LFML,Marseille-Provence,France,2291,1758,19,1739,15183.375,5484.1416666666655,
2022,01,JAN,LFMN,Nice-Côte d’Azur,France,3190,2850,10,2840,31392.534166666697,9245.6825,
2022,01,JAN,LFPG,Paris-Charles-de-Gaulle,France,12597,10379,16,10363,134104.4716666666,25384.6116666667,
2022,01,JAN,LFPO,Paris-Orly,France,5583,4969,66,4903,60528.990000000005,12655.7933333333,
2022,01,JAN,LFSB,Bâle-Mulhouse,France,2186,1271,24,1247,15117.0891666667,3100.960833333333,
2022,01,JAN,EDDB,Berlin - Brandenburg,Germany,4555,3897,54,3843,47839.976666666706,9595.906666666666,
2022,01,JAN,EDDC,Dresden,Germany,214,143,13,130,1528.1000000000001,353.666666666667,
2022,01,JAN,EDDE,Erfurt,Germany,136,41,41,0,,,NO REF FLIGHT
2022,01,JAN,EDDF,Frankfurt,Germany,12298,10868,167,10701,133121.05999999988,33802.49,
2022,01,JAN,EDDG,Muenster-Osnabrueck,Germany,560,178,14,164,1828.0649999999991,682.368333333333,
2022,01,JAN,EDDH,Hamburg,Germany,2886,2492,119,2373,29112.9308333333,5147.952499999999,
2022,01,JAN,EDDK,Cologne-Bonn,Germany,3551,1724,62,1662,18415.6716666667,4408.611666666666,
2022,01,JAN,EDDL,Dusseldorf,Germany,3567,3109,7,3102,35482.010833333305,5911.605833333333,
2022,01,JAN,EDDM,Munich,Germany,8318,7660,0,7660,87840.3975,24780.5691666667,
2022,01,JAN,EDDN,Nuremberg,Germany,1145,510,45,465,5634.205,1395.8616666666662,
2022,01,JAN,EDDP,Leipzig-Halle,Germany,2955,1077,78,999,11939.234999999999,2521.764999999999,
2022,01,JAN,EDDR,Saarbruecken,Germany,77,58,58,0,,,NO REF FLIGHT
2022,01,JAN,EDDS,Stuttgart,Germany,2306,1455,58,1397,15847.2675,2810.349166666666,
2022,01,JAN,EDDV,Hanover,Germany,1628,787,146,641,7050.7733333333335,2140.376666666666,
2022,01,JAN,EDDW,Bremen,Germany,656,373,27,346,4328.635,726.765,
2022,01,JAN,LGAV,Athens,Greece,5421,4425,33,4392,49971.826666666704,13710.2566666667,
2022,01,JAN,LHBP,Budapest - Ferihegy,Hungary,3018,2262,60,2202,27708.6316666667,4984.268333333333,
2022,01,JAN,BIKF,Keflavik,Iceland,,,,,,,NO DATA RECEIVED
2022,01,JAN,EICK,Cork,Ireland,1426,365,123,242,2681.691666666666,609.5916666666672,
2022,01,JAN,EIDW,Dublin,Ireland,5473,4186,0,4186,42674.1691666667,10243.880833333302,
2022,01,JAN,LICC,Catania,Italy,2008,1697,1,1696,18246.333333333303,5620.183333333333,
2022,01,JAN,LIMC,Milan - Malpensa,Italy,5751,4358,0,4358,48237.518333333304,13099.4983333333,
2022,01,JAN,LIME,Bergamo,Italy,2617,2053,31,2022,24117.9908333333,5288.109166666666,
2022,01,JAN,LIMF,Torino Caselle,Italy,,,,,,,DATA ISSUE
2022,01,JAN,LIML,Milan - Linate,Italy,3229,2831,0,2831,28222.506666666697,7311.593333333333,
2022,01,JAN,LIPE,Bologna,Italy,,,,,,,NO DATA RECEIVED
2022,01,JAN,LIPZ,Venice,Italy,1689,1358,5,1353,13430.116666666701,3209.65,
2022,01,JAN,LIRA,Rome - Ciampino,Italy,,,,,,,NO DATA RECEIVED
2022,01,JAN,LIRF,Rome - Fiumicino,Italy,5661,4925,138,4787,50073.576666666704,12078.806666666702,
2022,01,JAN,LIRN,Naples,Italy,2015,1725,92,1633,17387.3091666667,4610.074166666665,
2022,01,JAN,EVRA,Riga,Latvia,1849,1287,0,1287,14276.1041666667,3836.479166666666,
2022,01,JAN,ELLX,Luxembourg,Luxembourg,2293,1514,0,1514,17034.9116666667,3935.054999999999,
2022,01,JAN,LMML,Malta,Malta,1587,893,97,796,8288.123333333335,3083.693333333333,
2022,01,JAN,GMMN,Mohammed V International,Morocco,,,,,,,NO DATA RECEIVED
2022,01,JAN,GMMX,Menara,Morocco,,,,,,,NO DATA RECEIVED
2022,01,JAN,EHAM,Amsterdam - Schiphol,Netherlands,13784,11980,56,11924,141382.2625,36059.554166666705,
2022,01,JAN,ENBR,Bergen,Norway,,,,,,,NO DATA RECEIVED
2022,01,JAN,ENGM,Oslo - Gardermoen,Norway,5817,4925,51,4874,54563.1075,12493.8425,
2022,01,JAN,ENVA,Trondheim,Norway,,,,,,,NO DATA RECEIVED
2022,01,JAN,ENZV,Stavanger,Norway,,,,,,,NO DATA RECEIVED
2022,01,JAN,EPWA,Warszawa - Chopina,Poland,4732,3847,89,3758,42452.3125,12750.804166666701,
2022,01,JAN,LPFR,Faro,Portugal,846,720,18,702,8157.237499999999,1188.445833333333,
2022,01,JAN,LPPR,Porto,Portugal,2520,2014,8,2006,24599.6141666667,4073.169166666666,
2022,01,JAN,LPPT,Lisbon,Portugal,6260,5120,24,5096,65278.8283333333,16377.9383333333,
2022,01,JAN,LROP,Bucharest - Otopeni,Romania,3063,2173,58,2115,23641.0333333333,5615.783333333333,
2022,01,JAN,LZIB,Bratislava,Slovakia,564,250,19,231,2532.472499999999,739.7275000000001,
2022,01,JAN,LJLJ,Ljubljana,Slovenia,700,448,1,447,4970.155,1297.7783333333332,
2022,01,JAN,GCFV,Fuerteventura,Spain,1660,1590,120,1470,17185.3933333333,3961.823333333333,
2022,01,JAN,GCLP,Gran Canaria,Spain,4552,3605,227,3378,42428.07,12667.78,
2022,01,JAN,GCRR,Lanzarote,Spain,2102,1987,61,1926,23540.2333333333,5168.116666666666,
2022,01,JAN,GCTS,Tenerife Sur - Reina Sofia,Spain,2877,2553,13,2540,30665.68,6786.553333333333,
2022,01,JAN,GCXO,Tenerife North,Spain,2344,1169,4,1165,12582.696666666701,2617.17,
2022,01,JAN,LEAL,Alicante,Spain,2104,1893,57,1836,22187.184999999998,5176.698333333333,
2022,01,JAN,LEBB,Bilbao,Spain,1038,787,61,726,8451.114166666666,1867.4191666666661,
2022,01,JAN,LEBL,Barcelona,Spain,7681,6268,0,6268,73907.13,14039.07,
2022,01,JAN,LEIB,Ibiza,Spain,1067,686,4,682,7630.966666666666,1413.55,
2022,01,JAN,LEMD,Madrid - Barajas,Spain,11814,9830,14,9816,111773.9033333333,23857.096666666697,
2022,01,JAN,LEMG,Málaga,Spain,3753,2992,92,2900,34412.9575,8980.709166666666,
2022,01,JAN,LEPA,Palma de Mallorca,Spain,3373,2401,2,2399,28104.3,4572.4,
