YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2020,01,JAN,LOWW,Vienna,Austria,10271,10268,579,9689,49286.5,14913.516666666701,
2020,01,JAN,EBBR,Brussels,Belgium,8431,8343,359,7984,30727.2,10073.800000000001,
2020,01,JAN,EBCI,Charleroi,Belgium,2430,2429,12,2417,10549.300000000001,2032.7,
2020,01,JAN,LBSF,Sofia,Bulgaria,2365,2363,69,2294,6834.2,2449.8,
2020,01,JAN,LDZA,Zagreb,Croatia,1557,1556,36,1520,4745,2048,
2020,01,JAN,LKPR,Prague,Czech Republic,5058,5045,50,4995,21447.9,6247.1,
2020,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,9545,9544,222,9322,37331.075000000004,11348.1916666667,
2020,01,JAN,EETN,Tallinn,Estonia,1631,1591,35,1556,5005,1748,
2020,01,JAN,EFHK,Helsinki - Vantaa,Finland,8221,8182,866,7316,26757.288333333297,8935.961666666666,
2020,01,JAN,LFBO,Toulouse-Blagnac,France,3498,3498,179,3319,10400,3840,
2020,01,JAN,LFLL,Lyon-Saint-Exupéry,France,4336,4321,147,4174,15332.7,7203.3,
2020,01,JAN,LFML,Marseille-Provence,France,,,,,,,DATA ISSUE
2020,01,JAN,LFMN,Nice-Côte d’Azur,France,4214,4168,256,3912,10946,3373,
2020,01,JAN,LFPG,Paris-Charles-de-Gaulle,France,18839,18837,964,17873,132017.5,40356.7833333333,
2020,01,JAN,LFPO,Paris-Orly,France,8334,8334,195,8139,35543.8,16529.716666666696,
2020,01,JAN,LFSB,Bâle-Mulhouse,France,2519,2511,13,2498,7284,1706,
2020,01,JAN,EDDB,Berlin - Brandenburg,Germany,3118,3107,117,2990,15680.460000000001,3706.206666666666,
2020,01,JAN,EDDC,Dresden,Germany,725,725,19,706,1959,570,
2020,01,JAN,EDDE,Erfurt,Germany,270,144,27,117,371,119,
2020,01,JAN,EDDF,Frankfurt,Germany,18145,18145,580,17565,128315.41166666661,42522.855,
2020,01,JAN,EDDG,Muenster-Osnabrueck,Germany,954,391,2,389,1535.6000000000001,365.40000000000003,
2020,01,JAN,EDDH,Hamburg,Germany,5217,5184,193,4991,18119.095,6393.021666666666,
2020,01,JAN,EDDK,Cologne-Bonn,Germany,4909,4902,691,4211,19058.3933333333,5569.823333333333,
2020,01,JAN,EDDL,Dusseldorf,Germany,7867,7866,400,7466,24374.7316666667,6602.985000000001,
2020,01,JAN,EDDM,Munich,Germany,15299,15292,158,15134,63283,21593,
2020,01,JAN,EDDN,Nuremberg,Germany,2043,1773,78,1695,4102.8916666666655,1432.341666666666,
2020,01,JAN,EDDP,Leipzig-Halle,Germany,2791,2775,203,2572,10061.210000000001,4076.189999999999,
2020,01,JAN,EDDR,Saarbruecken,Germany,263,262,38,224,864.2,110.8,
2020,01,JAN,EDDS,Stuttgart,Germany,4837,4622,31,4591,14552.106666666701,7210.543333333333,
2020,01,JAN,EDDV,Hanover,Germany,2454,2229,235,1994,6695.7283333333335,2706.288333333333,
2020,01,JAN,EDDW,Bremen,Germany,1078,1063,39,1024,2337.1566666666663,1150.4099999999992,
2020,01,JAN,LGAV,Athens,Greece,6804,6803,303,6500,23404.116666666698,11368.6833333333,
2020,01,JAN,LHBP,Budapest - Ferihegy,Hungary,4719,4706,244,4462,12608.0733333333,7440.293333333333,
2020,01,JAN,BIKF,Keflavik,Iceland,,,,,,,NO DATA RECEIVED
2020,01,JAN,EICK,Cork,Ireland,731,713,29,684,1527.7,1464.3,
2020,01,JAN,EIDW,Dublin,Ireland,8296,8292,321,7971,43333,12903,
2020,01,JAN,LICC,Catania,Italy,2283,2280,1,2279,7126,3812,
2020,01,JAN,LIMC,Milan - Malpensa,Italy,7829,7806,110,7696,36303.200000000004,16388.8,
2020,01,JAN,LIME,Bergamo,Italy,3771,3768,88,3680,8463.4,6514.6,
2020,01,JAN,LIMF,Torino Caselle,Italy,1839,1818,16,1802,5840,4041,
2020,01,JAN,LIML,Milan - Linate,Italy,4559,4514,48,4466,11506.1,7254.9000000000005,
2020,01,JAN,LIPE,Bologna,Italy,2803,2803,247,2556,5639.158333333333,5123.174999999999,
2020,01,JAN,LIPZ,Venice,Italy,2783,2783,21,2762,11760,5309,
2020,01,JAN,LIRA,Rome - Ciampino,Italy,1914,1913,42,1871,9022.5,6050.5,
2020,01,JAN,LIRF,Rome - Fiumicino,Italy,10586,10582,225,10357,65984,32410,
2020,01,JAN,LIRN,Naples,Italy,2547,2489,7,2482,9427,3332,
2020,01,JAN,EVRA,Riga,Latvia,3050,3016,40,2976,9737.9,3368.1,
2020,01,JAN,ELLX,Luxembourg,Luxembourg,3137,3001,33,2968,9727.1,14006.9,
2020,01,JAN,LMML,Malta,Malta,2415,2402,80,2322,6065,3930,
2020,01,JAN,GMMN,Mohammed V International,Morocco,,,,,,,NO DATA RECEIVED
2020,01,JAN,GMMX,Menara,Morocco,,,,,,,NO DATA RECEIVED
2020,01,JAN,EHAM,Amsterdam - Schiphol,Netherlands,19432,19216,728,18488,146667.8616666666,37101.8883333333,
2020,01,JAN,ENBR,Bergen,Norway,,,,,,,NO DATA RECEIVED
2020,01,JAN,ENGM,Oslo - Gardermoen,Norway,9298,9282,147,9135,27802.600000000002,11444.4,
2020,01,JAN,ENVA,Trondheim,Norway,,,,,,,NO DATA RECEIVED
2020,01,JAN,ENZV,Stavanger,Norway,,,,,,,NO DATA RECEIVED
2020,01,JAN,EPWA,Warszawa - Chopina,Poland,7760,7745,1001,6744,16566.32,9014.68,
2020,01,JAN,LPFR,Faro,Portugal,942,942,26,916,2516.0716666666663,768.4116666666671,
