YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2020,01,JAN,LOWW,Vienna,Austria,10362,8324,488,7836,54363.9,18892.100000000002,
2020,01,JAN,EBBR,Brussels,Belgium,8359,8295,305,7990,61706.5,22110.5,
2020,01,JAN,EBCI,Charleroi,Belgium,2429,2428,8,2420,17265.4,5397.6,
2020,01,JAN,LBSF,Sofia,Bulgaria,2389,2009,81,1928,17767,5576,
2020,01,JAN,LDZA,Zagreb,Croatia,1556,1553,46,1507,10272,5222,
2020,01,JAN,LKPR,Prague,Czech Republic,5064,4533,120,4413,29914.5,9876.5,
2020,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,9566,9559,347,9212,72233.80166666671,23883.5816666667,
2020,01,JAN,EETN,Tallinn,Estonia,1628,1499,35,1464,7145,5305,
2020,01,JAN,EFHK,Helsinki - Vantaa,Finland,8257,8227,261,7966,55721.2283333333,32343.9383333333,
2020,01,JAN,LFBO,Toulouse-Blagnac,France,3493,3492,342,3150,21830.600000000002,7930.4000000000005,
2020,01,JAN,LFLL,Lyon-Saint-Exupéry,France,4345,4322,141,4181,29009.2,10804.800000000001,
2020,01,JAN,LFML,Marseille-Provence,France,,,,,,,DATA ISSUE
2020,01,JAN,LFMN,Nice-Côte d’Azur,France,4210,4210,158,4052,30634.7,6989.3,
2020,01,JAN,LFPG,Paris-Charles-de-Gaulle,France,19346,17954,1115,16839,193322.5,59408.2833333333,
2020,01,JAN,LFPO,Paris-Orly,France,8604,7911,767,7144,55308.8,18672,
2020,01,JAN,LFSB,Bâle-Mulhouse,France,2512,2503,62,2441,19382.5,8566.5,
2020,01,JAN,EDDB,Berlin - Brandenburg,Germany,3244,2817,63,2754,19104.153333333303,6155.363333333333,
2020,01,JAN,EDDC,Dresden,Germany,728,701,18,683,5090,955,
2020,01,JAN,EDDE,Erfurt,Germany,286,144,37,107,412,258,
2020,01,JAN,EDDF,Frankfurt,Germany,18245,17927,501,17426,189540.9533333333,53960.28,
2020,01,JAN,EDDG,Muenster-Osnabrueck,Germany,689,682,28,654,2274.2000000000003,1889.8,
2020,01,JAN,EDDH,Hamburg,Germany,5230,5170,196,4974,31759.765,10724.234999999999,
2020,01,JAN,EDDK,Cologne-Bonn,Germany,5049,4912,482,4430,36032.948333333305,10915.2683333333,
2020,01,JAN,EDDL,Dusseldorf,Germany,7921,7620,621,6999,62930.89,18497.876666666696,
2020,01,JAN,EDDM,Munich,Germany,15479,13291,207,13084,118456.1,38125.9,
2020,01,JAN,EDDN,Nuremberg,Germany,2150,1777,114,1663,11703.22,3407.48,
2020,01,JAN,EDDP,Leipzig-Halle,Germany,2845,2385,199,2186,20865.9833333333,7089.1,
2020,01,JAN,EDDR,Saarbruecken,Germany,254,251,16,235,752.7,639.3000000000001,
2020,01,JAN,EDDS,Stuttgart,Germany,4925,4287,35,4252,33646.19,10138.2933333333,
2020,01,JAN,EDDV,Hanover,Germany,2458,2221,221,2000,13191.8183333333,5065.765,
2020,01,JAN,EDDW,Bremen,Germany,1295,1059,27,1032,6554.308333333333,1943.408333333333,
2020,01,JAN,LGAV,Athens,Greece,6826,6812,295,6517,45708.6066666667,17849.4266666667,
2020,01,JAN,LHBP,Budapest - Ferihegy,Hungary,4743,4696,424,4272,32695,11858,
2020,01,JAN,BIKF,Keflavik,Iceland,,,,,,,NO DATA RECEIVED
2020,01,JAN,EICK,Cork,Ireland,1813,716,22,694,4240,1180,
2020,01,JAN,EIDW,Dublin,Ireland,8317,8278,521,7757,66203.4,30184.600000000002,
2020,01,JAN,LICC,Catania,Italy,2284,2281,3,2278,16931,5427,
2020,01,JAN,LIMC,Milan - Malpensa,Italy,7829,7121,202,6919,74449.245,25428.5883333333,
2020,01,JAN,LIME,Bergamo,Italy,3773,3770,150,3620,31221.5,10106.5,
2020,01,JAN,LIMF,Torino Caselle,Italy,1834,1814,19,1795,8759,4996,
2020,01,JAN,LIML,Milan - Linate,Italy,4541,4166,18,4148,30655,16452.833333333303,
2020,01,JAN,LIPE,Bologna,Italy,,,,,,,NO PREVIOUS RSLT
2020,01,JAN,LIPZ,Venice,Italy,2776,2776,42,2734,23255,10740,
2020,01,JAN,LIRA,Rome - Ciampino,Italy,1915,1910,118,1792,13846.800000000001,6481.2,
2020,01,JAN,LIRF,Rome - Fiumicino,Italy,10607,10598,125,10473,115845,49608,
2020,01,JAN,LIRN,Naples,Italy,2531,2477,14,2463,14707,7016,
2020,01,JAN,EVRA,Riga,Latvia,3256,3068,59,3009,21023.4,10491.6,
2020,01,JAN,ELLX,Luxembourg,Luxembourg,3196,2988,62,2926,22901.2,15036.800000000001,
2020,01,JAN,LMML,Malta,Malta,2454,2401,91,2310,9148,6009,
2020,01,JAN,GMMN,Mohammed V International,Morocco,,,,,,,NO DATA RECEIVED
2020,01,JAN,GMMX,Menara,Morocco,,,,,,,NO DATA RECEIVED
2020,01,JAN,EHAM,Amsterdam - Schiphol,Netherlands,19440,19222,733,18489,151338.5783333333,48599.6716666667,
2020,01,JAN,ENBR,Bergen,Norway,,,,,,,NO DATA RECEIVED
2020,01,JAN,ENGM,Oslo - Gardermoen,Norway,9803,9296,152,9144,69317.3,41265.700000000004,
2020,01,JAN,ENVA,Trondheim,Norway,,,,,,,NO DATA RECEIVED
2020,01,JAN,ENZV,Stavanger,Norway,,,,,,,NO DATA RECEIVED
2020,01,JAN,EPWA,Warszawa - Chopina,Poland,7798,7244,507,6737,44988.05666666671,20370.9766666667,
2020,01,JAN,LPFR,Faro,Portugal,947,945,38,907,7238.611666666666,1558.388333333333,
2020,01,JAN,LPPR,Porto,Portugal,3597,3594,26,3568,25278.7316666667,9864.285,
2020,01,JAN,LPPT,Lisbon,Portugal,8364,8351,138,8213,76251.6966666667,34075.186666666705,
2020,01,JAN,LROP,Bucharest - Otopeni,Romania,4700,4559,215,4344,27615.4,18122.600000000002,
2020,01,JAN,LZIB,Bratislava,Slovakia,799,662,35,627,4073.8,957.2,
2020,01,JAN,LJLJ,Ljubljana,Slovenia,922,722,32,690,4225.518333333333,2374.931666666666,
2020,01,JAN,GCFV,Fuerteventura,Spain,1802,1796,212,1584,10077.366666666701,3562.483333333333,
2020,01,JAN,GCLP,Gran Canaria,Spain,5223,5170,640,4530,31026.27,12346.1133333333,
